experiment,target_stand,inventory_th,plot_install_year,thinning_intensity,region_symbol,age,age_class,dbh,Dq,height,Hd,si,tph,sdi,rd,ba,vol,dbhgr,bagr,geometry,species,marker_label,regional_forest_service
a소나무림_2015_남부10,a소나무림,1,2015,c강도간벌,남부10,54,6,19.5,20.2,10.9,14.9,13.8,599,479.2,0.46,19.2,131.4,1.26,2.59,list(),NA,NA,cSouth
a소나무림_2015_남부11,a소나무림,1,2015,a무간벌,남부11,46,5,22.8,23.3,15.3,17.2,16.6,968,898.1,0.86,41.2,310.2,1.1,4.14,list(),NA,NA,cSouth
a소나무림_2015_남부11,a소나무림,1,2015,b약도간벌,남부11,46,5,26.1,26.5,14.6,16.8,16.5,587,624.4,0.6,32.4,239.9,2.37,6.07,list(),NA,NA,cSouth
a소나무림_2015_남부11,a소나무림,1,2015,c강도간벌,남부11,46,5,25.4,25.8,14.3,16.5,16.8,477,493.5,0.47,25,183.6,2.17,4.54,list(),NA,NA,cSouth
a소나무림_2015_남부12,a소나무림,1,2015,a무간벌,남부12,41,5,24.9,25.3,19.4,21.2,20.9,815,824.5,0.79,40.9,372,2.38,6.69,list(),NA,NA,cSouth
a소나무림_2015_남부12,a소나무림,1,2015,b약도간벌,남부12,41,5,25.1,25.3,14.5,16.2,17.7,732,742,0.71,36.9,267.9,1.92,4.84,list(),NA,NA,cSouth
a소나무림_2015_남부12,a소나무림,1,2015,c강도간벌,남부12,41,5,26.4,26.8,14.5,16.4,17.6,350,375.9,0.36,19.7,146,2.57,4.01,list(),NA,NA,cSouth
a소나무림_2015_남부13,a소나무림,1,2015,a무간벌,남부13,59,6,23.7,24.5,10.9,12.9,11.5,989,969.8,0.93,46.8,260.1,0.98,4.14,list(),NA,NA,cSouth
a소나무림_2015_남부13,a소나무림,1,2015,b약도간벌,남부13,59,6,26.5,27.2,13.9,16.9,13.4,521,568.3,0.55,30.2,225.9,1.67,3.86,list(),NA,NA,cSouth
a소나무림_2015_남부13,a소나무림,1,2015,c강도간벌,남부13,59,6,26.8,27.6,13.2,17,14.4,385,425.8,0.41,22.9,172.4,1.5,2.47,list(),NA,NA,cSouth
a소나무림_2015_남부14,a소나무림,1,2015,a무간벌,남부14,35,4,21.8,22.2,14.9,17.7,19,516,455.9,0.44,20,150.5,2.09,3.91,list(),NA,NA,cSouth
a소나무림_2015_남부14,a소나무림,1,2015,b약도간벌,남부14,35,4,23.4,24.6,13.7,17.2,17.5,471,463.6,0.45,22.4,164.8,1.52,2.67,list(),NA,NA,cSouth
a소나무림_2015_남부14,a소나무림,1,2015,c강도간벌,남부14,35,4,26.5,27,14.4,17.1,18,279,302.9,0.29,16,119.2,2.27,2.73,list(),NA,NA,cSouth
a소나무림_2015_남부15,a소나무림,1,2015,a무간벌,남부15,36,4,19.4,19.9,9.4,12,13.7,1013,799,0.77,31.6,163.4,1.5,5.04,list(),NA,NA,cSouth
a소나무림_2015_남부15,a소나무림,1,2015,b약도간벌,남부15,36,4,20,20.7,12.1,15.5,15.6,652,536.3,0.52,22,152.6,1.61,3.59,list(),NA,NA,cSouth
a소나무림_2015_남부15,a소나무림,1,2015,c강도간벌,남부15,36,4,16.9,17.6,8.9,13.6,13.9,736,510.1,0.49,17.9,118.7,1.42,3.02,list(),NA,NA,cSouth
a소나무림_2015_동부01,a소나무림,1,2015,a무간벌,동부01,45,5,27.3,27.6,17.9,19.8,18.6,530,588.2,0.56,31.7,269.4,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부01,a소나무림,1,2015,b약도간벌,동부01,45,5,28.5,28.6,15.6,16.7,15.7,375,431.7,0.41,24.1,181.7,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부01,a소나무림,1,2015,c강도간벌,동부01,45,5,24.2,24.5,14.3,16,15,240,235.1,0.23,11.3,81.1,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부02,a소나무림,1,2015,a무간벌,동부02,46,5,22.8,23.4,14.4,16.1,14.9,1087,1012.5,0.97,46.6,329.6,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부02,a소나무림,1,2015,b약도간벌,동부02,46,5,25,25.4,14.6,16.5,15.3,547,555.1,0.53,27.6,201.6,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부02,a소나무림,1,2015,c강도간벌,동부02,46,5,24.3,24.7,14.3,16.3,15.1,495,488.9,0.47,23.7,172.1,NA,NA,list(),NA,NA,bEast
a소나무림_2015_동부03,a소나무림,1,2015,a무간벌,동부03,45,5,21.3,22.1,12.4,14.5,14.2,715,629.2,0.6,27.5,174.7,1.75,4.48,list(),NA,NA,bEast
a소나무림_2015_동부03,a소나무림,1,2015,b약도간벌,동부03,45,5,25.4,25.9,14,16.5,16.7,453,470.1,0.45,23.9,175.9,2.19,4.2,list(),NA,NA,bEast
a소나무림_2015_동부03,a소나무림,1,2015,c강도간벌,동부03,45,5,27.4,28,14.2,16.9,16.3,372,418.3,0.4,22.9,172.5,1.99,3.25,list(),NA,NA,bEast
a소나무림_2015_동부04,a소나무림,1,2015,a무간벌,동부04,56,6,25.7,26.4,14,16.8,15,552,583.7,0.56,30.2,207.2,2.02,4.73,list(),NA,NA,bEast
a소나무림_2015_동부04,a소나무림,1,2015,b약도간벌,동부04,56,6,24.7,25.9,14.2,17.4,14.3,509,528.8,0.51,26.9,199.8,2.24,4.67,list(),NA,NA,bEast
a소나무림_2015_동부04,a소나무림,1,2015,c강도간벌,동부04,56,6,22.4,23.2,13.7,16.6,14,390,361.3,0.35,16.5,118.7,2.15,3.09,list(),NA,NA,bEast
a소나무림_2015_동부05,a소나무림,1,2015,a무간벌,동부05,49,5,21.9,22.5,11.7,14.5,13.3,1327,1188.2,1.14,52.7,321,1.02,5.14,list(),NA,NA,bEast
a소나무림_2015_동부05,a소나무림,1,2015,b약도간벌,동부05,49,5,27.3,27.6,14.8,16.9,15,536,595,0.57,32.1,240.6,1.43,3.38,list(),NA,NA,bEast
a소나무림_2015_동부05,a소나무림,1,2015,c강도간벌,동부05,49,5,27.4,27.8,14.8,17.2,14.9,466,520.5,0.5,28.3,212.1,1.93,3.99,list(),NA,NA,bEast
a소나무림_2015_동부06,a소나무림,1,2015,a무간벌,동부06,35,4,25,25.7,13.3,15.7,17.2,528,543.9,0.52,27.4,189.5,1.89,4.11,list(),NA,NA,bEast
a소나무림_2015_동부06,a소나무림,1,2015,b약도간벌,동부06,35,4,26,26.5,14.8,16.7,16.9,435,461.4,0.44,23.9,177.1,1.55,2.87,list(),NA,NA,bEast
a소나무림_2015_동부06,a소나무림,1,2015,c강도간벌,동부06,35,4,23.4,23.7,14.2,15.9,16.7,437,412.9,0.4,19.2,136.7,2.43,3.42,list(),NA,NA,bEast
a소나무림_2015_동부07,a소나무림,1,2015,a무간벌,동부07,15,2,10.4,10.6,6,7.1,19.4,1498,609.3,0.59,13.2,70.5,3.02,8.92,list(),NA,NA,bEast
a소나무림_2015_동부07,a소나무림,1,2015,b약도간벌,동부07,15,2,11.2,11.2,7.8,9.2,22,854,370,0.36,8.5,50.9,3.49,6.16,list(),NA,NA,bEast
a소나무림_2015_동부07,a소나무림,1,2015,c강도간벌,동부07,15,2,12.8,12.9,8.5,10.2,24.4,625,311.6,0.3,8.1,48.4,3.49,5.02,list(),NA,NA,bEast
a소나무림_2015_동부08,a소나무림,1,2015,a무간벌,동부08,9,1,4.9,5.3,3.2,4.2,25.6,2182,428.6,0.41,4.8,57.5,4.51,11.1,list(),NA,NA,bEast
a소나무림_2015_동부08,a소나무림,1,2015,b약도간벌,동부08,9,1,4.7,5,3.2,4.8,25.4,1675,308,0.3,3.2,44,3.51,6.19,list(),NA,NA,bEast
a소나무림_2015_동부08,a소나무림,1,2015,c강도간벌,동부08,9,1,5.3,5.6,3.4,5.1,26.2,1202,250,0.24,2.9,33.4,3.94,5.37,list(),NA,NA,bEast
a소나무림_2018_동부01,a소나무림,1,2018,a무간벌,동부01,17,2,8.2,8.4,5.7,6.8,15.5,2860,913.5,0.88,15.9,106.9,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부01,a소나무림,1,2018,b약도간벌,동부01,17,2,8,8.2,5.6,7.5,17,1382,431.2,0.41,7.3,52.6,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부01,a소나무림,1,2018,c강도간벌,동부01,17,2,9.8,10,6.5,8.5,19.3,1109,425.2,0.41,8.7,54.9,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부02,a소나무림,1,2018,a무간벌,동부02,16,2,4.2,4.2,2.9,3.9,9.6,1958,304.6,0.29,2.7,46.1,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부02,a소나무림,1,2018,b약도간벌,동부02,16,2,7.8,8,5.4,7.4,18.1,1059,321.9,0.31,5.3,39.1,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부02,a소나무림,1,2018,c강도간벌,동부02,16,2,6.3,6.6,4.3,6.5,16.1,989,245.5,0.24,3.4,30.3,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부03,a소나무림,1,2018,a무간벌,동부03,17,2,5.9,6.4,3.9,5.6,12.7,2928,701.3,0.67,9.4,84.1,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부03,a소나무림,1,2018,b약도간벌,동부03,17,2,7.3,7.5,5,7.1,16.2,1523,433.6,0.42,6.8,52.9,NA,NA,list(),NA,NA,bEast
a소나무림_2018_동부03,a소나무림,1,2018,c강도간벌,동부03,17,2,7.5,7.7,4.9,6.7,15.3,1080,312.8,0.3,5,37.8,NA,NA,list(),NA,NA,bEast
a소나무림_2020_북부01,a소나무림,1,2020,a무간벌,북부01,20,2,18,18.4,9.8,11.4,21.1,1255,910.8,0.87,33.4,177.8,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부01,a소나무림,1,2020,b약도간벌,북부01,20,2,17.9,18.4,12,14.5,26.8,1199,867.4,0.83,31.7,209.5,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부01,a소나무림,1,2020,c강도간벌,북부01,20,2,17.4,17.9,11.8,14.2,26.3,1230,866.8,0.83,30.9,202.5,NA,NA,list(),NA,NA,aNorth
a소나무림_2020_북부02,a소나무림,1,2020,a무간벌,북부02,42,5,29.1,29.6,17.3,19.4,18.9,386,460.8,0.44,26.6,218,NA,NA,list(),NA,NA,aNorth
